,Country,Subcontinent,Region,In EU,Population,Area,Pop. Density,Coastline,Net migration,Infant mortality,GDP,Literacy,Phones,Arable,Crops,Other,Climate,Birthrate,Deathrate,Agriculture,Industry,Service
54,Denmark,Europe,WESTERN EUROPE,TRUE,5450661,111613.02906,126.48,16.97,2.48,4.56,31100,100,614.6,54.02,0.19,45.79,3,11.13,10.36,0.018,0.246,0.735
55,Djibouti,Sub-Saharan Africa,SUB-SAHARAN AFRICA,FALSE,486530,59569.77,21.15,1.37,0,104.13,1300,67.9,22.81,0.04,0,99.96,1,39.53,19.31,0.179,0.225,0.596
56,Dominica,Caribbean Islands,LATIN AMER. & CARIB,FALSE,68910,1952.85246,91.39,19.63,-13.87,14.15,5400,94,304.75,6.67,20,73.33,2,15.27,6.73,0.177,0.328,0.495
57,Dominican Republic,Caribbean Islands,LATIN AMER. & CARIB,FALSE,9183984,126210.2127,188.47,2.64,-3.22,32.38,6000,84.7,97.4,22.65,10.33,67.02,2,23.22,5.73,0.112,0.306,0.582
58,East Timor,South & South East Asia,ASIA (EX. NEAR EAST),FALSE,1062777,38867.97993,70.82,4.7,0,47.41,500,58.6,,4.71,0.67,94.62,2,26.99,6.24,0.085,0.231,0.684
59,Ecuador,South America,LATIN AMER. & CARIB,FALSE,13547510,734417.5644,47.78,0.79,-8.58,23.66,3300,92.5,125.6,5.85,4.93,89.22,2,22.29,4.23,0.07,0.312,0.618
60,Egypt,North Africa,NORTHERN AFRICA,FALSE,78887007,2593745.4855,78.77,0.24,-0.22,32.59,4000,57.7,131.78,2.87,0.48,96.65,1,22.94,5.23,0.149,0.357,0.493
61,El Salvador,Mesoamerica,LATIN AMER. & CARIB,FALSE,6822378,54493.3896,324.26,1.46,-3.74,25.1,4800,80.2,142.4,31.85,12.07,56.08,2,26.61,5.78,0.099,0.302,0.599
62,Equatorial Guinea,Sub-Saharan Africa,SUB-SAHARAN AFRICA,FALSE,540109,72651.80949,19.25,1.06,0,85.13,2700,85.7,18.51,4.63,3.57,91.8,2,35.59,15.06,0.03,0.906,0.062
63,Eritrea,Sub-Saharan Africa,SUB-SAHARAN AFRICA,FALSE,4786994,314217.5868,39.46,1.84,0,74.87,700,58.6,7.88,4.95,0.03,95.02,1.5,34.33,9.6,0.102,0.254,0.643
